Facilitation of yolk-sac carcinoma (YSCa) development in fetectomized rats by the Moloney murine sarcoma virus/murine leukemia virus (Mo-MSV/MLV) complex was found to be closely associated with the presence of Mo-MSV sequences in the genomes of the YSCa cells.,Findings
The virus-induced YSCas consisted of cells of mono- or oligoclonal origin which always contained in their genomes at least I randomly integrated Mo-MSV provirus.,Data
"In YSCas which developed in the absence of virus, no rearrangement or amplification of c-mos could be detected.",Findings
"In addition, blot hybridization analysis of cellular RNA failed to detect mos-related RNA in cell lines derived from Mo-MSV-induced as well as from non-virally induced YSCas.",Method
The methylation level of c-mos DNA was low in all YSCa cell lines.,Data
"In contrast, v-mos DNA in cell lines derived from Mo-MSV-induced YSCas was heavily methylated.",Findings
"Using the monoclonal antibody LICR-LON-Fib75.1 coupled to Sepharose as an affinity chromatography column, a membrane glycoprotein with an apparent molecular weight of 18,000 on sodium dodecyl sulfate-polyacrylamide gels has been purified from human red blood cells.",Method
"The purified protein contained 25% carbohydrate by weight, the predominant sugars being galactose, mannose, and glucosamine.",Data
"Amino acid analysis indicated that the protein was relatively rich in aspartate, glutamate, valine, and leucine and had a low proline and methionine content.",Data
The molecule could be removed from intact red blood cells by trypsin and could be labeled with iodine by lactoperoxidase-catalyzed cell surface iodination of red blood cells.,Method
The protein could also be labeled using the lipidsoluble photoactivatable reagent 3-(trifluoromethyl)-3-(m-[125I]iodophenyl) diazirine) and partitioned into the lower phase of the phase-separable detergent Triton X-114.,Method
During size-exclusion chromatography in different detergents alterations were observed in the apparent molecular weight of the protein.,Findings
These results suggest that this Fib75.1-binding protein is an external red blood cell membrane glycoprotein which is capable of binding detergent.,Findings
A system that can simultaneously track about 25 animals with the position of each determined once a second is described.,Data
"The system includes a 6809 microprocessor, OS-9 operating system and application programs written in assembly and BASICO9.",Software
"The most characteristic finding, as expected, was the demonstration of abnormal mass echoes produced by the myxoma tissue.",Findings
Our findings suggest that the typical BL cell phenotype is associated with low expression of both proteins.,Findings
"These findings lend additional credence to the concept that transverse folds, reflecting contractions of the muscularis mucosae, represent a pattern of pathologic motility rather than merely a variant of normal mucosal anatomy.",Findings
These findings are consistent with the putative role of trophotaeniae as the embryonic component of the functional placenta of goodeid fishes.,Findings
